empresa,producto,materiales,costo,fechaInicio
Empresa 77,Producto 478,"['Acero 1', 'Cobre 2', 'Aluminio 3']",72.54,2019-04-16
Empresa 20,Producto 479,"['Cobre 1', 'Níquel 2', 'Níquel 3', 'Aluminio 4', 'Silicón 5']",79.77,2017-04-06
Empresa 29,Producto 480,"['Plastico 1', 'Cerámica 2', 'Grafeno 3', 'Níquel 4']",80.32,2015-06-17
Empresa 47,Producto 481,"['Cobre 1', 'Grafeno 2', 'Cobalto 3']",66.06,2019-05-10
Empresa 37,Producto 482,"['Plastico 1', 'Fibra de Carbono 2', 'Acero 3', 'Cobre 4']",57.32,2016-03-12
Empresa 61,Producto 483,"['Cerámica 1', 'Aluminio 2', 'Acero 3', 'Fibra de Carbono 4']",84.34,2019-07-25
Empresa 143,Producto 484,"['Cobre 1', 'Plastico 2']",79.18,2015-01-30
Empresa 16,Producto 485,"['Plastico 1', 'Plastico 2', 'Silicón 3']",65.99,2019-02-20
Empresa 94,Producto 486,"['Cerámica 1', 'Plastico 2', 'Cerámica 3', 'Cobalto 4']",53.61,2015-05-29
Empresa 172,Producto 487,"['Plastico 1', 'Plastico 2', 'Plastico 3', 'Cobre 4']",98.98,2019-12-13
Empresa 169,Producto 488,"['Cobalto 1', 'Acero 2']",91.73,2015-06-06
Empresa 9,Producto 489,"['Aluminio 1', 'Cobalto 2', 'Silicón 3', 'Cobre 4']",149.28,2018-05-12
Empresa 20,Producto 490,"['Aluminio 1', 'Silicón 2', 'Acero 3', 'Cobre 4', 'Cobre 5']",147.91,2019-01-08
Empresa 158,Producto 491,"['Cobre 1', 'Silicón 2', 'Cobre 3']",95.62,2016-02-22
Empresa 153,Producto 492,"['Cobre 1', 'Silicón 2']",98.47,2019-02-09
Empresa 82,Producto 493,"['Cobre 1', 'Fibra de Carbono 2', 'Plastico 3', 'Plastico 4']",60.49,2016-09-02
Empresa 120,Producto 494,"['Cerámica 1', 'Cobalto 2', 'Cerámica 3', 'Cerámica 4', 'Cobalto 5']",113.59,2017-05-06
Empresa 84,Producto 495,"['Silicón 1', 'Aluminio 2']",63.13,2017-12-29
Empresa 61,Producto 496,"['Níquel 1', 'Cobre 2', 'Fibra de Carbono 3']",87.74,2015-06-06
Empresa 68,Producto 497,"['Acero 1', 'Plastico 2', 'Fibra de Carbono 3', 'Fibra de Carbono 4']",79.53,2016-01-26
Empresa 122,Producto 498,"['Cobre 1', 'Silicón 2', 'Cobalto 3']",91.53,2019-10-08
Empresa 67,Producto 499,"['Grafeno 1', 'Fibra de Carbono 2']",87.41,2018-03-20
Empresa 182,Producto 500,"['Silicón 1', 'Cobalto 2']",98.94,2019-09-08
Empresa 168,Producto 501,"['Acero 1', 'Cobre 2', 'Cobre 3']",91.16,2019-04-27
Empresa 20,Producto 502,"['Cobre 1', 'Cobalto 2', 'Fibra de Carbono 3', 'Silicón 4', 'Cobalto 5']",112.22,2018-07-18
Empresa 3,Producto 503,"['Cerámica 1', 'Cobre 2', 'Aluminio 3', 'Cobre 4']",141.09,2019-11-22
Empresa 10,Producto 504,"['Silicón 1', 'Cerámica 2', 'Fibra de Carbono 3', 'Cobalto 4']",61.7,2019-04-23
Empresa 158,Producto 505,"['Cobre 1', 'Grafeno 2', 'Cobre 3', 'Cerámica 4']",145.23,2020-01-01
Empresa 9,Producto 506,"['Níquel 1', 'Grafeno 2']",82.17,2017-04-17
Empresa 94,Producto 507,"['Cobre 1', 'Acero 2']",78.71,2015-02-26
Empresa 72,Producto 508,"['Acero 1', 'Acero 2']",64.32,2019-08-25
Empresa 95,Producto 509,"['Grafeno 1', 'Cerámica 2', 'Níquel 3']",148.05,2019-02-18
Empresa 25,Producto 510,"['Fibra de Carbono 1', 'Silicón 2']",127.37,2018-02-27
Empresa 95,Producto 511,"['Aluminio 1', 'Níquel 2', 'Fibra de Carbono 3', 'Grafeno 4', 'Cobre 5']",76.95,2015-07-07
Empresa 27,Producto 512,"['Fibra de Carbono 1', 'Cobre 2']",79.51,2016-10-27
Empresa 67,Producto 513,"['Cobalto 1', 'Aluminio 2', 'Fibra de Carbono 3', 'Cerámica 4', 'Grafeno 5']",139.42,2017-12-17
Empresa 24,Producto 514,"['Fibra de Carbono 1', 'Grafeno 2', 'Acero 3']",145.3,2015-01-07
Empresa 11,Producto 515,"['Grafeno 1', 'Níquel 2']",117.89,2019-01-12
Empresa 139,Producto 516,"['Níquel 1', 'Cobalto 2']",83.59,2015-10-08
Empresa 29,Producto 517,"['Plastico 1', 'Silicón 2', 'Cobalto 3']",139.26,2019-01-16
Empresa 189,Producto 518,"['Cobalto 1', 'Fibra de Carbono 2', 'Cerámica 3', 'Cobre 4']",88.62,2016-08-25
Empresa 141,Producto 519,"['Cobre 1', 'Fibra de Carbono 2']",138.71,2018-05-05
Empresa 70,Producto 520,"['Silicón 1', 'Silicón 2', 'Aluminio 3']",96.49,2017-03-22
Empresa 191,Producto 521,"['Fibra de Carbono 1', 'Plastico 2', 'Acero 3', 'Grafeno 4', 'Plastico 5']",73.06,2015-11-22
Empresa 154,Producto 522,"['Acero 1', 'Plastico 2', 'Acero 3', 'Níquel 4', 'Plastico 5']",88.88,2019-04-02
Empresa 51,Producto 523,"['Cerámica 1', 'Plastico 2', 'Cobalto 3', 'Cobre 4']",78.91,2015-12-05
Empresa 146,Producto 524,"['Aluminio 1', 'Plastico 2', 'Acero 3']",146.37,2017-12-29
Empresa 79,Producto 525,"['Cobalto 1', 'Grafeno 2', 'Cobre 3', 'Cobalto 4']",140.48,2015-09-30
Empresa 138,Producto 526,"['Aluminio 1', 'Cobalto 2', 'Cerámica 3', 'Cobre 4', 'Grafeno 5']",119.04,2018-09-11
Empresa 35,Producto 527,"['Aluminio 1', 'Grafeno 2', 'Silicón 3', 'Cobre 4', 'Cobre 5']",114.27,2017-07-23
Empresa 57,Producto 528,"['Aluminio 1', 'Acero 2', 'Aluminio 3', 'Cerámica 4']",122.37,2015-11-02
Empresa 41,Producto 529,"['Silicón 1', 'Cobre 2']",67.4,2018-09-17
Empresa 25,Producto 530,"['Fibra de Carbono 1', 'Grafeno 2']",79.13,2018-08-15
Empresa 186,Producto 531,"['Níquel 1', 'Acero 2', 'Plastico 3', 'Aluminio 4']",55.21,2016-03-25
Empresa 14,Producto 532,"['Plastico 1', 'Cobalto 2', 'Grafeno 3', 'Cobre 4']",63.0,2015-07-30
Empresa 37,Producto 533,"['Níquel 1', 'Cobre 2', 'Cobre 3', 'Cobalto 4', 'Cobalto 5']",80.48,2017-11-01
Empresa 143,Producto 534,"['Cobre 1', 'Cerámica 2', 'Grafeno 3', 'Níquel 4', 'Silicón 5']",105.61,2018-06-26
Empresa 115,Producto 535,"['Aluminio 1', 'Cobalto 2', 'Acero 3']",84.36,2015-07-21
Empresa 5,Producto 536,"['Plastico 1', 'Acero 2', 'Fibra de Carbono 3', 'Plastico 4']",96.74,2018-01-12
Empresa 11,Producto 537,"['Cerámica 1', 'Aluminio 2']",65.14,2015-04-30
Empresa 143,Producto 538,"['Cerámica 1', 'Plastico 2', 'Acero 3', 'Cobre 4', 'Cobre 5']",58.68,2017-08-14
Empresa 186,Producto 539,"['Cerámica 1', 'Plastico 2', 'Acero 3']",87.97,2019-09-12
Empresa 11,Producto 540,"['Silicón 1', 'Acero 2', 'Fibra de Carbono 3']",74.56,2018-10-05
Empresa 118,Producto 541,"['Cerámica 1', 'Aluminio 2', 'Níquel 3']",123.19,2017-06-19
Empresa 132,Producto 542,"['Silicón 1', 'Cobalto 2']",76.22,2016-12-17
Empresa 15,Producto 543,"['Cobre 1', 'Cobre 2', 'Silicón 3']",104.04,2015-06-21
Empresa 92,Producto 544,"['Fibra de Carbono 1', 'Silicón 2']",129.07,2018-07-04
Empresa 185,Producto 545,"['Fibra de Carbono 1', 'Fibra de Carbono 2', 'Acero 3']",74.91,2016-02-27
Empresa 197,Producto 546,"['Níquel 1', 'Plastico 2', 'Cobre 3', 'Cobre 4', 'Grafeno 5']",129.49,2017-04-17
Empresa 25,Producto 547,"['Cerámica 1', 'Silicón 2', 'Fibra de Carbono 3', 'Grafeno 4', 'Fibra de Carbono 5']",86.55,2016-10-18
Empresa 122,Producto 548,"['Aluminio 1', 'Acero 2', 'Cobalto 3', 'Cobalto 4']",84.85,2017-03-23
Empresa 161,Producto 549,"['Grafeno 1', 'Plastico 2', 'Cobre 3', 'Plastico 4', 'Plastico 5']",90.72,2017-07-01
Empresa 127,Producto 550,"['Acero 1', 'Acero 2']",114.44,2019-02-25
Empresa 122,Producto 551,"['Aluminio 1', 'Cobre 2', 'Cobalto 3', 'Fibra de Carbono 4', 'Silicón 5']",53.38,2017-11-15
Empresa 126,Producto 552,"['Acero 1', 'Acero 2']",81.6,2018-03-12
Empresa 114,Producto 553,"['Níquel 1', 'Silicón 2', 'Grafeno 3', 'Cerámica 4', 'Cobre 5']",79.37,2018-04-22
Empresa 104,Producto 554,"['Cobre 1', 'Aluminio 2', 'Cobalto 3', 'Plastico 4']",140.63,2018-01-15
Empresa 145,Producto 555,"['Cobre 1', 'Acero 2']",109.64,2015-11-28
Empresa 25,Producto 556,"['Cobre 1', 'Aluminio 2', 'Fibra de Carbono 3']",130.08,2016-03-18
Empresa 119,Producto 557,"['Plastico 1', 'Grafeno 2']",71.18,2018-10-06
Empresa 197,Producto 558,"['Cobalto 1', 'Cerámica 2', 'Cobalto 3', 'Plastico 4', 'Aluminio 5']",139.78,2016-11-12
Empresa 110,Producto 559,"['Fibra de Carbono 1', 'Cobalto 2', 'Níquel 3']",64.79,2017-03-04
Empresa 157,Producto 560,"['Cobre 1', 'Aluminio 2', 'Cobalto 3', 'Cerámica 4']",131.47,2015-07-19
Empresa 94,Producto 561,"['Grafeno 1', 'Silicón 2', 'Fibra de Carbono 3', 'Cobre 4', 'Acero 5']",143.62,2018-01-22
Empresa 105,Producto 562,"['Cobalto 1', 'Acero 2', 'Cobre 3']",114.06,2019-03-19
Empresa 77,Producto 563,"['Cobalto 1', 'Cobre 2', 'Níquel 3']",121.99,2019-06-29
Empresa 45,Producto 564,"['Acero 1', 'Cerámica 2', 'Cobre 3', 'Cobalto 4']",79.55,2015-02-01
Empresa 104,Producto 565,"['Cobalto 1', 'Cobre 2', 'Aluminio 3', 'Níquel 4']",93.72,2015-03-08
Empresa 181,Producto 566,"['Cobre 1', 'Níquel 2', 'Plastico 3', 'Aluminio 4']",131.35,2019-12-07
Empresa 183,Producto 567,"['Cobalto 1', 'Níquel 2', 'Fibra de Carbono 3', 'Cobre 4', 'Cobre 5']",149.99,2016-08-14
Empresa 18,Producto 568,"['Cobre 1', 'Cobre 2', 'Níquel 3', 'Aluminio 4', 'Fibra de Carbono 5']",127.86,2018-02-15
Empresa 41,Producto 569,"['Plastico 1', 'Fibra de Carbono 2', 'Aluminio 3', 'Fibra de Carbono 4', 'Acero 5']",100.59,2018-12-01
Empresa 132,Producto 570,"['Cobre 1', 'Cobre 2']",121.49,2016-06-17
Empresa 82,Producto 571,"['Grafeno 1', 'Grafeno 2', 'Fibra de Carbono 3', 'Cobre 4', 'Aluminio 5']",116.44,2019-04-12
Empresa 194,Producto 572,"['Cobalto 1', 'Grafeno 2', 'Plastico 3']",85.18,2019-08-27
Empresa 186,Producto 573,"['Fibra de Carbono 1', 'Cobre 2', 'Silicón 3', 'Grafeno 4', 'Cerámica 5']",93.92,2018-08-03
Empresa 56,Producto 574,"['Cobre 1', 'Acero 2']",117.08,2016-08-21
Empresa 152,Producto 575,"['Plastico 1', 'Plastico 2']",102.81,2015-06-29
Empresa 126,Producto 576,"['Cobalto 1', 'Cerámica 2']",146.8,2019-09-07
Empresa 154,Producto 577,"['Grafeno 1', 'Aluminio 2']",139.52,2018-08-14
Empresa 47,Producto 578,"['Cerámica 1', 'Cobalto 2', 'Silicón 3']",54.89,2016-02-18
Empresa 137,Producto 579,"['Níquel 1', 'Fibra de Carbono 2', 'Fibra de Carbono 3']",135.23,2019-01-31
Empresa 16,Producto 580,"['Grafeno 1', 'Cobre 2']",92.17,2017-07-26
Empresa 137,Producto 581,"['Níquel 1', 'Plastico 2', 'Grafeno 3', 'Fibra de Carbono 4', 'Cobalto 5']",54.97,2018-09-24
Empresa 82,Producto 582,"['Grafeno 1', 'Níquel 2']",113.2,2018-10-27
Empresa 193,Producto 583,"['Aluminio 1', 'Níquel 2', 'Plastico 3', 'Cobalto 4']",67.34,2019-02-22
Empresa 123,Producto 584,"['Níquel 1', 'Acero 2', 'Cobalto 3']",61.5,2019-01-14
Empresa 183,Producto 585,"['Cobre 1', 'Cobalto 2', 'Grafeno 3', 'Silicón 4']",90.72,2015-12-12
Empresa 138,Producto 586,"['Cobre 1', 'Cerámica 2', 'Cobre 3', 'Plastico 4', 'Grafeno 5']",84.36,2016-08-25
Empresa 47,Producto 587,"['Grafeno 1', 'Grafeno 2']",98.96,2019-02-15
Empresa 3,Producto 588,"['Níquel 1', 'Cobre 2', 'Cerámica 3', 'Fibra de Carbono 4']",133.56,2016-04-18
Empresa 193,Producto 589,"['Aluminio 1', 'Cerámica 2']",86.72,2018-06-15
Empresa 95,Producto 590,"['Cobre 1', 'Silicón 2', 'Cobre 3', 'Acero 4', 'Cerámica 5']",53.97,2016-03-18
Empresa 29,Producto 591,"['Fibra de Carbono 1', 'Cobre 2', 'Plastico 3']",147.94,2019-12-03
Empresa 185,Producto 592,"['Cobre 1', 'Cobalto 2', 'Cobre 3', 'Grafeno 4']",136.1,2019-10-14
Empresa 169,Producto 593,"['Cobre 1', 'Cobre 2', 'Acero 3']",66.33,2019-05-23
Empresa 88,Producto 594,"['Fibra de Carbono 1', 'Níquel 2', 'Silicón 3', 'Silicón 4']",87.59,2015-02-23
Empresa 58,Producto 595,"['Cobre 1', 'Cerámica 2', 'Cobre 3']",114.83,2018-07-31
Empresa 38,Producto 596,"['Cerámica 1', 'Plastico 2', 'Plastico 3', 'Plastico 4', 'Níquel 5']",63.75,2019-04-20
Empresa 96,Producto 597,"['Cobre 1', 'Cobalto 2', 'Fibra de Carbono 3', 'Fibra de Carbono 4']",117.88,2016-02-24
Empresa 63,Producto 598,"['Cobre 1', 'Níquel 2', 'Cobre 3']",127.29,2019-07-30
Empresa 172,Producto 599,"['Cobre 1', 'Aluminio 2']",100.57,2015-12-29
Empresa 96,Producto 600,"['Plastico 1', 'Grafeno 2', 'Cobre 3']",88.32,2017-08-09
Empresa 5,Producto 601,"['Acero 1', 'Silicón 2']",99.35,2015-01-09
Empresa 72,Producto 602,"['Cobalto 1', 'Aluminio 2']",129.8,2019-05-17
Empresa 0,Producto 603,"['Cobre 1', 'Níquel 2', 'Cobre 3']",71.33,2018-09-27
Empresa 96,Producto 604,"['Cobalto 1', 'Cerámica 2', 'Cobalto 3', 'Aluminio 4', 'Grafeno 5']",143.46,2018-06-12
Empresa 35,Producto 605,"['Cobalto 1', 'Aluminio 2', 'Fibra de Carbono 3']",110.32,2018-10-16
Empresa 132,Producto 606,"['Cobre 1', 'Aluminio 2', 'Cerámica 3']",86.33,2019-01-25
Empresa 191,Producto 607,"['Cobalto 1', 'Cobre 2', 'Acero 3', 'Acero 4']",93.02,2017-02-18
Empresa 18,Producto 608,"['Cobalto 1', 'Aluminio 2', 'Cobre 3']",123.65,2018-07-12
Empresa 199,Producto 609,"['Acero 1', 'Acero 2', 'Fibra de Carbono 3', 'Plastico 4', 'Cerámica 5']",73.77,2018-01-12
Empresa 56,Producto 610,"['Fibra de Carbono 1', 'Plastico 2']",96.1,2019-03-22
Empresa 194,Producto 611,"['Cobalto 1', 'Acero 2']",112.35,2018-07-20
Empresa 36,Producto 612,"['Plastico 1', 'Cerámica 2', 'Cobre 3', 'Plastico 4']",92.1,2018-09-21
Empresa 189,Producto 613,"['Fibra de Carbono 1', 'Acero 2']",91.09,2016-01-16
Empresa 93,Producto 614,"['Grafeno 1', 'Cobre 2']",98.49,2017-06-11
Empresa 153,Producto 615,"['Fibra de Carbono 1', 'Grafeno 2', 'Níquel 3', 'Cobre 4']",82.71,2015-04-09
Empresa 35,Producto 616,"['Acero 1', 'Níquel 2']",107.93,2018-11-24
Empresa 93,Producto 617,"['Aluminio 1', 'Cobalto 2', 'Cobre 3', 'Grafeno 4']",70.67,2016-03-22
Empresa 45,Producto 618,"['Cobre 1', 'Aluminio 2', 'Acero 3', 'Níquel 4', 'Níquel 5']",149.29,2017-08-22
Empresa 18,Producto 619,"['Cobre 1', 'Aluminio 2']",52.16,2019-04-24
Empresa 189,Producto 620,"['Plastico 1', 'Cobalto 2', 'Aluminio 3']",52.87,2016-04-25
Empresa 152,Producto 621,"['Cobalto 1', 'Plastico 2', 'Aluminio 3']",91.81,2017-07-10
Empresa 170,Producto 622,"['Plastico 1', 'Plastico 2', 'Grafeno 3', 'Aluminio 4', 'Cobre 5']",131.26,2018-06-24
Empresa 146,Producto 623,"['Cerámica 1', 'Cobalto 2', 'Cobre 3', 'Acero 4']",68.41,2016-08-30
Empresa 21,Producto 624,"['Níquel 1', 'Silicón 2', 'Acero 3', 'Plastico 4', 'Acero 5']",115.57,2018-08-26
Empresa 20,Producto 625,"['Fibra de Carbono 1', 'Cerámica 2', 'Cobre 3', 'Níquel 4']",91.13,2019-01-26
Empresa 105,Producto 626,"['Aluminio 1', 'Cobre 2', 'Fibra de Carbono 3', 'Plastico 4']",66.58,2015-06-05
Empresa 191,Producto 627,"['Grafeno 1', 'Níquel 2', 'Fibra de Carbono 3', 'Níquel 4']",58.63,2017-03-21
Empresa 177,Producto 628,"['Fibra de Carbono 1', 'Cobre 2', 'Cobre 3', 'Cobalto 4', 'Plastico 5']",125.52,2017-06-26
Empresa 138,Producto 629,"['Cobalto 1', 'Acero 2', 'Cobre 3']",129.07,2016-02-23
Empresa 57,Producto 630,"['Níquel 1', 'Grafeno 2']",114.3,2018-02-24
Empresa 194,Producto 631,"['Cobre 1', 'Fibra de Carbono 2', 'Silicón 3', 'Cobre 4']",75.38,2016-07-08
Empresa 42,Producto 632,"['Acero 1', 'Fibra de Carbono 2']",68.94,2015-03-14
Empresa 145,Producto 633,"['Fibra de Carbono 1', 'Cobre 2', 'Grafeno 3', 'Cobre 4']",125.1,2018-07-06
Empresa 181,Producto 634,"['Fibra de Carbono 1', 'Cobalto 2', 'Cobalto 3', 'Níquel 4', 'Fibra de Carbono 5']",58.4,2017-11-23
Empresa 137,Producto 635,"['Aluminio 1', 'Grafeno 2']",79.3,2016-04-24
Empresa 127,Producto 636,"['Cobalto 1', 'Plastico 2', 'Cerámica 3', 'Plastico 4', 'Cobalto 5']",136.25,2015-09-13
Empresa 84,Producto 637,"['Acero 1', 'Plastico 2', 'Níquel 3', 'Aluminio 4', 'Níquel 5']",128.91,2015-01-15
Empresa 122,Producto 638,"['Grafeno 1', 'Cerámica 2', 'Cobalto 3', 'Aluminio 4']",64.57,2015-02-24
Empresa 56,Producto 639,"['Cobre 1', 'Cobre 2', 'Aluminio 3', 'Níquel 4', 'Grafeno 5']",81.01,2016-02-12
Empresa 0,Producto 640,"['Cobalto 1', 'Fibra de Carbono 2', 'Acero 3', 'Níquel 4']",118.71,2017-04-14
Empresa 114,Producto 641,"['Silicón 1', 'Cobre 2', 'Grafeno 3', 'Aluminio 4']",75.12,2019-10-06
Empresa 58,Producto 642,"['Grafeno 1', 'Cobalto 2', 'Níquel 3', 'Cobre 4', 'Níquel 5']",62.53,2015-01-16
Empresa 111,Producto 643,"['Plastico 1', 'Níquel 2', 'Silicón 3', 'Acero 4']",94.47,2018-09-24
Empresa 63,Producto 644,"['Fibra de Carbono 1', 'Aluminio 2']",89.0,2015-05-11
Empresa 65,Producto 645,"['Fibra de Carbono 1', 'Cerámica 2', 'Cobre 3', 'Silicón 4', 'Aluminio 5']",139.5,2018-09-23
Empresa 154,Producto 646,"['Grafeno 1', 'Níquel 2']",124.28,2017-10-31
Empresa 24,Producto 647,"['Grafeno 1', 'Níquel 2', 'Acero 3']",109.45,2018-09-25
Empresa 52,Producto 648,"['Cobre 1', 'Acero 2', 'Aluminio 3']",74.61,2016-01-29
Empresa 123,Producto 649,"['Fibra de Carbono 1', 'Acero 2']",55.54,2016-02-22
Empresa 68,Producto 650,"['Cerámica 1', 'Aluminio 2', 'Silicón 3']",118.31,2016-10-16
Empresa 14,Producto 651,"['Cobre 1', 'Níquel 2']",107.96,2016-08-12
Empresa 5,Producto 652,"['Cobre 1', 'Acero 2']",75.24,2016-10-25
Empresa 132,Producto 653,"['Cobre 1', 'Silicón 2', 'Cobre 3', 'Grafeno 4']",104.88,2015-04-06
Empresa 68,Producto 654,"['Fibra de Carbono 1', 'Cobre 2', 'Cerámica 3', 'Fibra de Carbono 4', 'Cobre 5']",115.25,2017-09-24
Empresa 132,Producto 655,"['Cobalto 1', 'Plastico 2', 'Acero 3', 'Cobre 4', 'Cobre 5']",108.72,2015-12-28
Empresa 14,Producto 656,"['Silicón 1', 'Cerámica 2', 'Cobre 3', 'Aluminio 4']",61.3,2018-07-01
Empresa 24,Producto 657,"['Cobre 1', 'Grafeno 2']",77.35,2018-04-26
Empresa 137,Producto 658,"['Cobre 1', 'Cerámica 2']",121.22,2015-02-16
Empresa 122,Producto 659,"['Cobre 1', 'Plastico 2', 'Aluminio 3']",61.95,2016-11-17
Empresa 128,Producto 660,"['Cobalto 1', 'Grafeno 2', 'Grafeno 3', 'Grafeno 4']",55.4,2016-04-20
Empresa 146,Producto 661,"['Cerámica 1', 'Cobalto 2', 'Cobre 3']",125.09,2015-04-30
Empresa 139,Producto 662,"['Grafeno 1', 'Plastico 2', 'Níquel 3']",72.97,2017-01-13
Empresa 37,Producto 663,"['Silicón 1', 'Aluminio 2', 'Aluminio 3', 'Silicón 4']",129.95,2016-05-19
Empresa 105,Producto 664,"['Cerámica 1', 'Níquel 2', 'Cerámica 3', 'Aluminio 4', 'Cobre 5']",117.93,2018-09-19
Empresa 177,Producto 665,"['Silicón 1', 'Fibra de Carbono 2']",120.61,2018-04-13
Empresa 148,Producto 666,"['Níquel 1', 'Cerámica 2', 'Aluminio 3', 'Cobre 4', 'Plastico 5']",90.64,2019-10-05
Empresa 27,Producto 667,"['Aluminio 1', 'Aluminio 2', 'Acero 3']",117.1,2019-08-01
Empresa 7,Producto 668,"['Cobre 1', 'Aluminio 2', 'Acero 3', 'Aluminio 4']",84.37,2016-08-11
Empresa 63,Producto 669,"['Acero 1', 'Cobalto 2']",129.05,2019-07-16
Empresa 171,Producto 670,"['Fibra de Carbono 1', 'Cobre 2', 'Níquel 3', 'Níquel 4']",64.63,2018-11-05
Empresa 114,Producto 671,"['Cobalto 1', 'Grafeno 2', 'Plastico 3', 'Cobre 4', 'Cobalto 5']",72.58,2018-06-24
Empresa 199,Producto 672,"['Cobre 1', 'Cobre 2', 'Cobalto 3', 'Cobre 4']",132.97,2015-04-24
Empresa 57,Producto 673,"['Grafeno 1', 'Níquel 2', 'Acero 3', 'Acero 4', 'Plastico 5']",59.04,2017-09-23
Empresa 27,Producto 674,"['Acero 1', 'Fibra de Carbono 2', 'Cerámica 3']",80.5,2017-11-02
Empresa 93,Producto 675,"['Níquel 1', 'Cobre 2', 'Cobre 3']",84.17,2016-03-07
Empresa 171,Producto 676,"['Acero 1', 'Silicón 2', 'Cerámica 3', 'Aluminio 4', 'Plastico 5']",59.12,2015-11-25
Empresa 41,Producto 677,"['Aluminio 1', 'Cobalto 2', 'Fibra de Carbono 3', 'Cerámica 4']",103.09,2015-12-03
Empresa 105,Producto 678,"['Fibra de Carbono 1', 'Cerámica 2', 'Níquel 3', 'Silicón 4']",59.05,2019-10-31
Empresa 92,Producto 679,"['Cobre 1', 'Cobre 2']",90.4,2016-05-01
Empresa 184,Producto 680,"['Níquel 1', 'Grafeno 2', 'Grafeno 3', 'Silicón 4', 'Plastico 5']",68.25,2017-05-22
Empresa 18,Producto 681,"['Silicón 1', 'Fibra de Carbono 2', 'Grafeno 3', 'Cobre 4']",68.87,2016-12-09
Empresa 169,Producto 682,"['Aluminio 1', 'Silicón 2', 'Acero 3', 'Cobre 4']",130.34,2016-04-14
Empresa 37,Producto 683,"['Plastico 1', 'Acero 2']",98.65,2019-10-04
Empresa 115,Producto 684,"['Silicón 1', 'Silicón 2', 'Aluminio 3', 'Cerámica 4']",67.8,2016-08-23
Empresa 68,Producto 685,"['Grafeno 1', 'Acero 2', 'Grafeno 3']",75.35,2018-01-13
Empresa 27,Producto 686,"['Cobre 1', 'Cobre 2']",135.17,2015-12-03
Empresa 161,Producto 687,"['Acero 1', 'Aluminio 2', 'Acero 3', 'Plastico 4']",65.97,2015-01-28
Empresa 35,Producto 688,"['Aluminio 1', 'Acero 2']",96.67,2016-08-17
Empresa 146,Producto 689,"['Cerámica 1', 'Silicón 2']",53.28,2018-08-02
Empresa 70,Producto 690,"['Silicón 1', 'Silicón 2', 'Níquel 3', 'Níquel 4']",78.66,2016-04-01
Empresa 0,Producto 691,"['Silicón 1', 'Plastico 2', 'Grafeno 3']",126.55,2017-12-18
Empresa 153,Producto 692,"['Níquel 1', 'Cobre 2', 'Plastico 3', 'Fibra de Carbono 4']",125.15,2015-06-21
Empresa 145,Producto 693,"['Fibra de Carbono 1', 'Acero 2', 'Níquel 3', 'Fibra de Carbono 4']",80.39,2016-04-29
Empresa 46,Producto 694,"['Silicón 1', 'Acero 2', 'Cobre 3', 'Fibra de Carbono 4']",93.01,2018-04-04
Empresa 134,Producto 695,"['Aluminio 1', 'Cobre 2', 'Cerámica 3']",56.22,2018-05-11
Empresa 29,Producto 696,"['Cobalto 1', 'Cobre 2']",146.16,2016-06-23
Empresa 20,Producto 697,"['Cobre 1', 'Fibra de Carbono 2', 'Aluminio 3', 'Grafeno 4', 'Cerámica 5']",53.26,2017-10-24
Empresa 171,Producto 698,"['Cerámica 1', 'Cobre 2', 'Silicón 3']",90.47,2015-07-10
Empresa 194,Producto 699,"['Grafeno 1', 'Fibra de Carbono 2', 'Cobre 3', 'Fibra de Carbono 4']",59.27,2015-07-20
Empresa 185,Producto 700,"['Silicón 1', 'Cobre 2']",139.46,2016-12-16
Empresa 42,Producto 701,"['Cobre 1', 'Silicón 2']",62.3,2019-08-18
Empresa 79,Producto 702,"['Grafeno 1', 'Plastico 2', 'Acero 3', 'Aluminio 4', 'Acero 5']",148.19,2016-05-22
Empresa 118,Producto 703,"['Grafeno 1', 'Cobalto 2', 'Plastico 3', 'Fibra de Carbono 4']",62.54,2016-11-20
Empresa 25,Producto 704,"['Fibra de Carbono 1', 'Cobre 2', 'Cobre 3', 'Plastico 4', 'Cobre 5']",91.68,2015-02-26
Empresa 123,Producto 705,"['Cobalto 1', 'Silicón 2', 'Cobre 3', 'Aluminio 4']",128.44,2016-12-20
Empresa 136,Producto 706,"['Grafeno 1', 'Plastico 2', 'Cobre 3']",94.06,2016-10-24
Empresa 63,Producto 707,"['Cobre 1', 'Aluminio 2', 'Grafeno 3']",59.05,2015-11-14
Empresa 137,Producto 708,"['Aluminio 1', 'Plastico 2', 'Silicón 3', 'Silicón 4']",146.08,2015-02-04
Empresa 177,Producto 709,"['Silicón 1', 'Níquel 2', 'Aluminio 3']",79.25,2019-01-17
Empresa 46,Producto 710,"['Plastico 1', 'Cerámica 2']",106.44,2018-01-16
Empresa 70,Producto 711,"['Cobalto 1', 'Cobalto 2']",98.91,2019-04-03
Empresa 162,Producto 712,"['Acero 1', 'Acero 2', 'Cerámica 3', 'Níquel 4']",84.58,2015-01-10
Empresa 158,Producto 713,"['Acero 1', 'Cerámica 2', 'Cobalto 3']",68.43,2017-09-29
Empresa 74,Producto 714,"['Grafeno 1', 'Níquel 2', 'Fibra de Carbono 3', 'Cobre 4', 'Cobre 5']",141.03,2019-08-20
Empresa 0,Producto 715,"['Cobre 1', 'Níquel 2', 'Acero 3']",108.77,2019-04-17
