documento,empresa,corresponsal,numeroConfirmacion,prioridad
3283,Empresa 142,Corresponsal 30,482055,Baja
3285,Empresa 130,Corresponsal 77,194999,Media
3288,Empresa 77,Corresponsal 20,110963,Media
3293,Empresa 81,Corresponsal 54,598493,Media
3294,Empresa 185,Corresponsal 24,598917,Alta
3297,Empresa 14,Corresponsal 66,841365,Baja
3301,Empresa 74,Corresponsal 6,219453,Baja
3304,Empresa 85,Corresponsal 42,490405,Baja
3306,Empresa 52,Corresponsal 94,109852,Media
3309,Empresa 112,Corresponsal 14,798603,Media
3312,Empresa 25,Corresponsal 36,147354,Baja
3313,Empresa 164,Corresponsal 62,238583,Media
3323,Empresa 112,Corresponsal 43,649018,Baja
3326,Empresa 189,Corresponsal 93,198566,Media
3329,Empresa 17,Corresponsal 69,678587,Alta
3334,Empresa 74,Corresponsal 67,860353,Media
3349,Empresa 53,Corresponsal 40,995969,Alta
3356,Empresa 191,Corresponsal 60,313480,Baja
3360,Empresa 158,Corresponsal 99,740868,Media
3367,Empresa 91,Corresponsal 90,334961,Baja
3369,Empresa 111,Corresponsal 15,921245,Baja
3373,Empresa 43,Corresponsal 19,298696,Alta
3381,Empresa 127,Corresponsal 47,400345,Alta
3384,Empresa 26,Corresponsal 88,276550,Baja
3393,Empresa 196,Corresponsal 65,133060,Media
3394,Empresa 177,Corresponsal 69,962575,Media
3409,Empresa 43,Corresponsal 36,234512,Baja
3410,Empresa 0,Corresponsal 60,603502,Baja
3416,Empresa 26,Corresponsal 83,291735,Media
3417,Empresa 25,Corresponsal 69,657465,Baja
3422,Empresa 33,Corresponsal 72,168667,Baja
3425,Empresa 68,Corresponsal 77,765738,Baja
3428,Empresa 112,Corresponsal 72,560448,Media
3430,Empresa 120,Corresponsal 34,658322,Alta
3433,Empresa 68,Corresponsal 45,611412,Media
3434,Empresa 162,Corresponsal 40,764807,Baja
3436,Empresa 85,Corresponsal 10,919924,Media
3438,Empresa 14,Corresponsal 87,855258,Baja
3440,Empresa 26,Corresponsal 15,831867,Baja
3444,Empresa 61,Corresponsal 16,766921,Baja
3446,Empresa 155,Corresponsal 59,889185,Media
3452,Empresa 160,Corresponsal 50,128597,Baja
3453,Empresa 75,Corresponsal 14,353988,Alta
3454,Empresa 199,Corresponsal 3,637485,Alta
3457,Empresa 27,Corresponsal 80,217401,Baja
3458,Empresa 118,Corresponsal 80,404689,Media
3459,Empresa 110,Corresponsal 46,252792,Baja
3465,Empresa 128,Corresponsal 80,388007,Media
3467,Empresa 156,Corresponsal 30,138983,Baja
3472,Empresa 155,Corresponsal 23,966608,Media
3474,Empresa 158,Corresponsal 83,249380,Media
3480,Empresa 195,Corresponsal 37,636195,Baja
3487,Empresa 14,Corresponsal 19,282722,Alta
3488,Empresa 88,Corresponsal 14,592220,Alta
3489,Empresa 23,Corresponsal 52,693578,Alta
3496,Empresa 155,Corresponsal 71,500180,Baja
3499,Empresa 132,Corresponsal 29,841747,Baja
